id,classname,method_signature,suffix,num_file,num_line,num_function,num_class
./ProjectTest/JAVA/emailgenerator.java,emailgenerator,emailgenerator,,2,194,0,2
./ProjectTest/JAVA/heap.java,heap,heap,,3,629,0,6
./ProjectTest/JAVA/servlet.java,servlet,servlet,,6,308,0,6
./ProjectTest/JAVA/libraryApp.java,libraryApp,libraryApp,,4,340,0,4
./ProjectTest/JAVA/libraryManagement.java,libraryManagement,libraryManagement,,7,483,0,7
./ProjectTest/JAVA/SimpleChat.java,SimpleChat,SimpleChat,,2,170,0,5
./ProjectTest/JAVA/springmicrometerundertow.java,springmicrometerundertow,springmicrometerundertow,,3,130,0,3
./ProjectTest/JAVA/logrequestresponseundertow.java,logrequestresponseundertow,logrequestresponseundertow,,3,85,0,3
./ProjectTest/JAVA/Train.java,Train,Train,,3,216,0,3
./ProjectTest/JAVA/bankingApplication.java,bankingApplication,bankingApplication,,3,357,0,5
./ProjectTest/JAVA/springuploads3.java,springuploads3,springuploads3,,7,192,0,6
./ProjectTest/JAVA/CalculatorOOPS.java,CalculatorOOPS,CalculatorOOPS,,8,138,0,7
./ProjectTest/JAVA/passwordGenerator.java,passwordGenerator,passwordGenerator,,5,344,0,5
./ProjectTest/JAVA/springdatamongowithcluster.java,springdatamongowithcluster,springdatamongowithcluster,,2,51,0,2
./ProjectTest/JAVA/idcenter.java,idcenter,idcenter,,4,295,0,4
./ProjectTest/JAVA/PongGame.java,PongGame,PongGame,,6,321,0,7
./ProjectTest/JAVA/Actor_relationship_game.java,Actor_relationship_game,Actor_relationship_game,,7,479,0,7
./ProjectTest/JAVA/springreactivenonreactive.java,springreactivenonreactive,springreactivenonreactive,,7,170,0,5
./ProjectTest/JAVA/redis.java,redis,redis,,9,651,0,28
